"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Jordan",43,11,5,1,0,1,2
"Netherlands",43,12,9,6,2,4,1
"Italy",43,12,4,5,5,0,2
"Norway",44,1,6,5,4,1,1
"Poland",44,1,5,2,1,1,2
"Mexico",44,2,7,6,1,5,1
"New Zealand",44,2,5,3,0,3,2
"Canada",44,3,7,9,3,6,1
"Qatar",44,3,4,4,4,0,2
"Belgium",44,4,7,5,2,3,1
"Austria",44,4,4,5,3,2,2
"Ghana",44,4,4,1,1,0,3
"Japan",44,5,6,6,4,2,1
"Cameroon",44,5,4,3,2,1,2
"England",44,5,4,2,4,-2,3
"Haiti",44,6,9,6,1,5,1
"Tunisia",44,6,6,3,3,0,2
"Costa Rica",44,7,6,5,2,3,1
"Nigeria",44,7,6,5,3,2,2
"Netherlands",44,7,3,2,3,-1,3
"Panama",44,8,9,5,0,5,1
"Switzerland",44,8,6,3,2,1,2
"Korea Republic",44,8,3,3,3,0,3
"Brazil",44,9,6,8,6,2,1
"Scotland",44,9,6,5,3,2,2
"Uzbekistan",44,9,3,4,6,-2,3
"Egypt",44,10,7,5,1,4,1
"France",44,10,4,2,2,0,2
"Croatia",44,10,4,4,6,-2,3
"Uruguay",44,11,6,4,3,1,1
"Senegal",44,11,4,6,4,2,2
"Saudi Arabia",44,11,4,5,5,0,3
"Portugal",44,12,7,4,2,2,1
"Denmark",44,12,4,6,5,1,2
"Australia",44,12,3,3,4,-1,3
"United States",45,1,7,5,3,2,1
"Japan",45,1,4,4,3,1,2
"South Africa",45,1,4,3,3,0,3
"Senegal",45,2,4,5,3,2,1
"Norway",45,2,4,2,2,0,2
"Mexico",45,2,4,1,3,-2,3
"Canada",45,3,9,6,2,4,1
"Australia",45,3,4,2,2,0,2
"Haiti",45,4,5,6,2,4,1
"Brazil",45,4,5,5,4,1,2
"Morocco",45,4,3,3,3,0,3
"Netherlands",45,5,7,5,2,3,1
"Qatar",45,5,6,4,3,1,2
"Colombia",45,6,5,3,2,1,1
"Panama",45,6,4,3,3,0,2
"Egypt",45,6,4,1,1,0,3
"New Zealand",45,7,9,12,3,9,1
"Tunisia",45,7,4,3,5,-2,2
"Uruguay",45,8,7,3,1,2,1
"Denmark",45,8,5,4,3,1,2
"Algeria",45,8,4,2,1,1,3
"Costa Rica",45,9,6,4,3,1,1
"Wales",45,9,5,2,0,2,2
"Scotland",45,9,4,1,1,0,3
"Iran",45,10,7,6,2,4,1
"Ecuador",45,10,4,2,1,1,2
"England",45,10,4,2,3,-1,3
"Uzbekistan",45,11,7,7,2,5,1
"Spain",45,11,4,4,4,0,2
"Chile",45,11,3,5,5,0,3
"Ghana",45,12,6,6,4,2,1
"Italy",45,12,6,5,3,2,2
"Nigeria",46,1,6,5,3,2,1
"Denmark",46,1,5,3,2,1,2
"Switzerland",46,2,7,6,4,2,1
"Ghana",46,2,6,6,5,1,2
"Paraguay",46,2,3,4,5,-1,3
"Canada",46,3,9,8,3,5,1
"Australia",46,3,3,4,4,0,2
"South Africa",46,3,3,4,5,-1,3
"Austria",46,4,9,6,1,5,1
"Korea Republic",46,4,6,3,2,1,2
"Cameroon",46,4,3,3,4,-1,3
"Italy",46,5,4,4,2,2,1
"Germany",46,5,4,4,4,0,2
"Norway",46,5,4,3,4,-1,3
"Tunisia",46,6,9,8,2,6,1
"Panama",46,6,6,3,2,1,2
"Iran",46,6,3,1,2,-1,3
"Senegal",46,7,9,5,2,3,1
"Japan",46,7,6,7,3,4,2
"Morocco",46,8,5,4,3,1,1
"Brazil",46,8,4,3,3,0,2
"Jordan",46,8,4,2,2,0,3
"Egypt",46,9,9,4,1,3,1
"Colombia",46,9,4,2,2,0,2
"Qatar",46,9,3,2,3,-1,3
"Wales",46,10,5,2,1,1,1
"Saudi Arabia",46,10,4,3,1,2,2
"Scotland",46,10,4,3,5,-2,3
"Jamaica",46,11,7,5,2,3,1
"New Zealand",46,11,5,6,2,4,2
"Algeria",46,12,7,7,1,6,1
"Haiti",46,12,5,5,4,1,2
"United States",47,1,7,5,3,2,1
"Norway",47,1,4,2,3,-1,2
"Jordan",47,1,3,5,5,0,3
"Iran",47,2,9,9,2,7,1
"Colombia",47,2,6,5,6,-1,2
"Saudi Arabia",47,3,4,3,3,0,1
"Wales",47,3,4,3,3,0,2
"Canada",47,3,4,1,1,0,3
"Jamaica",47,4,7,4,2,2,1
"Tunisia",47,4,6,4,2,2,2
"Japan",47,5,5,7,5,2,1
"Panama",47,5,4,8,4,4,2
"Austria",47,5,4,3,7,-4,3
"Argentina",47,6,7,3,1,2,1
"Costa Rica",47,6,6,5,3,2,2
"Switzerland",47,6,3,2,3,-1,3
"Morocco",47,7,7,4,0,4,1
"Croatia",47,7,4,2,3,-1,2
"Korea Republic",47,8,7,4,0,4,1
"Brazil",47,8,4,3,3,0,2
"South Africa",47,8,3,1,1,0,3
"Haiti",47,9,7,4,1,3,1
"Egypt",47,9,4,6,3,3,2
"France",47,10,6,6,3,3,1
"Australia",47,10,5,3,2,1,2
"Ghana",47,10,4,4,5,-1,3
"Qatar",47,11,5,3,2,1,1
"Portugal",47,11,4,4,3,1,2
"Paraguay",47,11,4,2,3,-1,3
"Poland",47,12,6,5,2,3,1
"Scotland",47,12,6,4,4,0,2
"New Zealand",47,12,4,3,3,0,3
"United States",48,1,9,8,2,6,1
"Jordan",48,1,6,5,5,0,2
"Denmark",48,2,7,5,3,2,1
"Qatar",48,2,5,4,2,2,2
"Mexico",48,2,3,3,4,-1,3
"Germany",48,3,7,5,2,3,1
"Canada",48,3,4,4,4,0,2
"Ecuador",48,3,3,4,4,0,3
"Jamaica",48,4,7,6,2,4,1
"Saudi Arabia",48,4,4,5,2,3,2
"Senegal",48,4,3,3,3,0,3
"Costa Rica",48,5,9,6,1,5,1
"Algeria",48,5,6,4,3,1,2
"Egypt",48,6,9,5,0,5,1
"Colombia",48,6,3,4,5,-1,2
"Panama",48,6,3,4,5,-1,3
"South Africa",48,7,9,7,1,6,1
"Croatia",48,7,6,5,3,2,2
"Poland",48,8,7,6,3,3,1
"Cameroon",48,8,6,4,2,2,2
"Nigeria",48,9,6,6,2,4,1
"Wales",48,9,6,4,6,-2,2
"Haiti",48,9,4,5,5,0,3
"England",48,10,5,3,1,2,1
"Uzbekistan",48,10,5,1,0,1,2
"Scotland",48,10,4,3,3,0,3
"Ghana",48,11,7,4,1,3,1
"Argentina",48,11,7,4,2,2,2
"Austria",48,11,3,2,4,-2,3
"New Zealand",48,12,6,10,4,6,1
"Chile",48,12,6,3,1,2,2
"Portugal",48,12,6,2,4,-2,3
"Saudi Arabia",49,1,6,7,4,3,1
"United States",49,1,6,6,3,3,2
"Iran",49,2,5,5,2,3,1
"New Zealand",49,2,5,3,1,2,2
"Mexico",49,2,3,3,3,0,3
"Canada",49,3,7,8,3,5,1
"Nigeria",49,3,7,6,4,2,2
"Ghana",49,4,7,8,4,4,1
"Jamaica",49,4,5,6,5,1,2
"Belgium",49,4,4,4,6,-2,3
"Panama",49,5,9,7,2,5,1
"Argentina",49,5,6,3,4,-1,2
"Tunisia",49,5,3,5,3,2,3
"Poland",49,6,5,3,1,2,1
"Japan",49,6,5,2,1,1,2
"Haiti",49,6,3,0,0,0,3
"Chile",49,7,5,6,4,2,1
"Norway",49,7,5,7,6,1,2
"Qatar",49,7,4,4,4,0,3
"Wales",49,8,9,10,3,7,1
"Algeria",49,8,4,5,6,-1,2
"Spain",49,9,5,2,1,1,1
"Egypt",49,9,4,3,3,0,2
"Uzbekistan",49,9,3,4,4,0,3
"Cameroon",49,10,9,3,0,3,1
"Korea Republic",49,10,6,6,2,4,2
"South Africa",49,11,6,4,2,2,1
"Australia",49,11,6,3,2,1,2
"Uruguay",49,11,3,4,5,-1,3
"Costa Rica",49,12,6,3,1,2,1
"Paraguay",49,12,6,3,2,1,2
"Netherlands",49,12,4,2,2,0,3
"United States",50,1,6,6,2,4,1
"Iran",50,1,6,3,1,2,2
"Wales",50,1,6,2,3,-1,3
"Senegal",50,2,7,4,1,3,1
"Mexico",50,2,5,4,3,1,2
"Uzbekistan",50,2,4,3,4,-1,3
"Jordan",50,3,7,8,6,2,1
"Canada",50,3,4,5,5,0,2
"Poland",50,3,4,5,5,0,3
"Croatia",50,4,6,5,2,3,1
"Algeria",50,4,6,4,2,2,2
"Haiti",50,4,4,1,1,0,3
"Saudi Arabia",50,5,7,6,3,3,1
"Austria",50,5,5,2,1,1,2
"Japan",50,6,7,3,1,2,1
"Netherlands",50,6,4,2,2,0,2
"Argentina",50,7,6,6,4,2,1
"Ghana",50,7,4,4,5,-1,2
"Switzerland",50,7,4,2,3,-1,3
"Spain",50,8,6,5,2,3,1
"Scotland",50,8,4,2,2,0,2
"Costa Rica",50,8,4,2,3,-1,3
"Panama",50,9,7,8,4,4,1
"Tunisia",50,9,5,3,1,2,2
"England",50,10,6,4,5,-1,1
"Colombia",50,10,4,2,2,0,2
"Qatar",50,10,4,2,3,-1,3
"New Zealand",50,11,6,8,4,4,1
"Australia",50,11,6,6,4,2,2
"Australia",50,11,6,6,4,2,3
"South Africa",50,12,5,2,1,1,1
"Norway",50,12,4,1,1,0,2
"Poland",51,1,5,7,3,4,1
"South Africa",51,1,5,5,3,2,2
"United States",51,1,3,5,10,-5,3
"Egypt",51,2,7,4,0,4,1
"Mexico",51,2,6,5,5,0,2
"Uzbekistan",51,2,4,3,3,0,3
"Canada",51,3,6,6,3,3,1
"Tunisia",51,3,6,4,5,-1,2
"Ecuador",51,3,4,4,3,1,3
"Senegal",51,4,7,5,0,5,1
"Costa Rica",51,4,5,2,1,1,2
"Cameroon",51,5,9,6,0,6,1
"Japan",51,5,4,4,3,1,2
"Norway",51,6,7,6,2,4,1
"Haiti",51,6,6,7,1,6,2
"Chile",51,6,4,3,6,-3,3
"Nigeria",51,7,9,5,0,5,1
"Panama",51,7,6,4,4,0,2
"Uruguay",51,7,3,3,5,-2,3
"Korea Republic",51,8,7,6,2,4,1
"Switzerland",51,8,6,5,6,-1,2
"Austria",51,9,9,3,0,3,1
"Qatar",51,9,4,3,3,0,2
"Jordan",51,10,5,4,3,1,1
"Jamaica",51,10,3,5,5,0,2
"Argentina",51,10,3,3,3,0,3
"Saudi Arabia",51,11,6,6,3,3,1
"Croatia",51,11,6,2,2,0,2
"England",51,11,4,2,2,0,3
"Morocco",51,12,7,6,1,5,1
"Netherlands",51,12,4,6,5,1,2
"Belgium",51,12,4,5,7,-2,3
"Austria",52,1,7,8,2,6,1
"Egypt",52,1,5,4,2,2,2
"Chile",52,2,7,5,1,4,1
"Australia",52,2,6,4,3,1,2
"Paraguay",52,3,5,6,4,2,1
"Canada",52,3,4,7,5,2,2
"New Zealand",52,3,4,6,7,-1,3
"Haiti",52,4,5,3,1,2,1
"Colombia",52,4,4,3,3,0,2
"Norway",52,4,4,2,3,-1,3
"Scotland",52,5,6,4,3,1,1
"Brazil",52,5,4,4,3,1,2
"Senegal",52,5,4,3,4,-1,3
"Croatia",52,6,9,3,0,3,1
"Jordan",52,6,4,4,1,3,2
"Germany",52,7,5,4,1,3,1
"Qatar",52,7,5,5,3,2,2
"France",52,7,5,4,3,1,3
"Saudi Arabia",52,8,7,6,2,4,1
"Jamaica",52,8,4,4,4,0,2
"Tunisia",52,8,4,3,4,-1,3
"Panama",52,9,6,7,3,4,1
"Argentina",52,9,4,5,5,0,2
"Morocco",52,9,4,3,5,-2,3
"Cameroon",52,10,7,5,2,3,1
"Iran",52,10,6,4,3,1,2
"Switzerland",52,10,4,3,4,-1,3
"Poland",52,11,7,4,2,2,1
"South Africa",52,11,6,4,2,2,2
"Uruguay",52,11,4,2,1,1,3
"Netherlands",52,12,7,3,0,3,1
"Costa Rica",52,12,6,5,3,2,2
"Ghana",53,1,9,7,1,6,1
"Colombia",53,1,3,3,4,-1,2
"United States",53,1,3,1,3,-2,3
"Qatar",53,2,7,5,3,2,1
"Mexico",53,2,5,4,3,1,2
"Norway",53,2,4,1,1,0,3
"South Africa",53,3,7,2,0,2,1
"Germany",53,3,5,1,0,1,2
"Brazil",53,4,6,7,5,2,1
"Jamaica",53,4,4,4,3,1,2
"Saudi Arabia",53,4,4,3,2,1,3
"Costa Rica",53,5,6,4,3,1,1
"Japan",53,5,4,3,2,1,2
"Netherlands",53,5,4,5,6,-1,3
"Panama",53,6,9,10,2,8,1
"Australia",53,6,6,4,2,2,2
"Chile",53,6,3,1,4,-3,3
"Denmark",53,7,9,6,1,5,1
"Haiti",53,7,4,3,3,0,2
"Argentina",53,7,2,3,4,-1,3
"Morocco",53,8,7,3,0,3,1
"Ecuador",53,8,4,3,3,0,2
"Croatia",53,8,3,3,4,-1,3
"Scotland",53,9,7,3,0,3,1
"England",53,9,6,8,3,5,2
"New Zealand",53,10,7,4,1,3,1
"Paraguay",53,10,6,3,1,2,2
"Austria",53,11,6,6,4,2,1
"Uzbekistan",53,11,6,4,3,1,2
"Algeria",53,11,3,3,4,-1,3
"Nigeria",53,12,7,5,2,3,1
"Wales",53,12,5,6,5,1,2
"Morocco",54,1,7,6,4,2,1
"Jordan",54,1,4,6,5,1,2
"Qatar",54,2,7,4,2,2,1
"Algeria",54,2,6,6,2,4,2
"Mexico",54,2,4,5,7,-2,3
"Colombia",54,3,7,6,2,4,1
"Norway",54,3,6,4,3,1,2
"Paraguay",54,4,9,6,1,5,1
"Haiti",54,4,6,5,2,3,2
"Belgium",54,5,6,3,3,0,1
"Ecuador",54,5,5,4,2,2,2
"Germany",54,6,9,7,2,5,1
"Italy",54,6,4,2,4,-2,2
"Nigeria",54,6,3,1,2,-1,3
"Tunisia",54,7,6,3,1,2,1
"New Zealand",54,7,6,4,3,1,2
"Uruguay",54,7,3,5,4,1,3
"Egypt",54,8,5,3,1,2,1
"England",54,8,5,4,3,1,2
"Denmark",54,8,3,5,7,-2,3
"Argentina",54,9,5,4,1,3,1
"Ghana",54,9,3,2,2,0,2
"Croatia",54,9,3,1,1,0,3
"Austria",54,10,6,3,2,1,1
"Jamaica",54,10,4,2,2,0,2
"France",54,10,4,1,1,0,3
"Costa Rica",54,11,6,6,3,3,1
"Scotland",54,11,6,5,4,1,2
"Senegal",54,11,4,4,4,0,3
"Iran",54,12,7,7,2,5,1
"South Africa",54,12,6,5,6,-1,2
"Spain",54,12,4,2,3,-1,3
"Poland",55,1,6,5,2,3,1
"United States",55,1,6,4,2,2,2
"Japan",55,1,3,4,5,-1,3
"Mexico",55,2,7,4,1,3,1
"Switzerland",55,2,4,3,3,0,2
"Uzbekistan",55,2,4,3,4,-1,3
"Paraguay",55,3,5,4,3,1,1
"Senegal",55,3,5,4,3,1,2
"Jamaica",55,4,7,6,1,5,1
"Italy",55,4,4,4,4,0,2
"Ghana",55,4,4,3,5,-2,3
"Australia",55,5,5,8,2,6,1
"England",55,5,5,2,0,2,2
"Haiti",55,5,5,3,2,1,3
"Norway",55,6,5,4,3,1,1
"Austria",55,6,4,3,3,0,2
"Belgium",55,6,4,2,5,-3,3
"Nigeria",55,7,9,8,2,6,1
"Germany",55,7,6,4,3,1,2
"Iran",55,8,5,6,5,1,1
"Tunisia",55,8,4,5,5,0,2
"Portugal",55,8,4,2,2,0,3
"Panama",55,9,6,4,3,1,1
"Croatia",55,9,6,2,2,0,2
"Algeria",55,9,3,2,2,0,3
"Denmark",55,10,7,7,3,4,1
"Argentina",55,10,4,5,7,-2,2
"Qatar",55,10,3,5,5,0,3
"Egypt",55,11,7,2,0,2,1
"Costa Rica",55,11,6,7,2,5,2
"South Africa",55,12,7,5,2,3,1
"Spain",55,12,7,3,0,3,2
"New Zealand",56,1,6,6,3,3,1
"Denmark",56,1,6,6,5,1,2
"Iran",56,1,6,6,6,0,3
"Croatia",56,2,5,5,4,1,1
"Mexico",56,2,4,3,3,0,2
"Saudi Arabia",56,2,3,2,2,0,3
"Canada",56,3,9,10,2,8,1
"Norway",56,3,6,8,5,3,2
"Austria",56,4,5,6,3,3,1
"Algeria",56,4,4,2,4,-2,2
"Panama",56,4,3,5,5,0,3
"Jamaica",56,5,7,8,4,4,1
"Italy",56,5,5,6,5,1,2
"Ghana",56,5,3,4,5,-1,3
"Haiti",56,6,7,5,3,2,1
"Scotland",56,6,5,5,2,3,2
"Senegal",56,6,4,2,2,0,3
"Qatar",56,7,9,5,1,4,1
"Morocco",56,7,4,3,2,1,2
"Tunisia",56,8,6,8,5,3,1
"Costa Rica",56,8,6,8,6,2,2
"Australia",56,8,4,5,7,-2,3
"Netherlands",56,9,6,6,3,3,1
"Jordan",56,9,5,4,3,1,2
"Wales",56,10,9,7,3,4,1
"Argentina",56,10,4,6,7,-1,2
"Cameroon",56,11,7,3,0,3,1
"Spain",56,11,4,5,2,3,2
"Korea Republic",56,11,4,3,3,0,3
"Ecuador",56,12,7,7,3,4,1
"Nigeria",56,12,4,4,5,-1,2
"France",56,12,4,3,4,-1,3
"Denmark",57,1,7,5,1,4,1
"United States",57,1,4,3,4,-1,2
"Korea Republic",57,1,3,3,3,0,3
"Mexico",57,2,7,5,1,4,1
"Poland",57,2,4,4,1,3,2
"Chile",57,3,6,6,3,3,1
"Saudi Arabia",57,3,5,4,2,2,2
"Canada",57,3,4,3,3,0,3
"Spain",57,4,9,3,0,3,1
"Haiti",57,4,4,2,1,1,2
"Panama",57,5,7,5,0,5,1
"France",57,5,5,3,2,1,2
"Wales",57,5,4,4,5,-1,3
"Costa Rica",57,6,9,11,0,11,1
"Brazil",57,6,6,5,8,-3,2
"Egypt",57,6,3,7,3,4,3
"New Zealand",57,7,9,6,1,5,1
"Senegal",57,7,6,3,2,1,2
"Uzbekistan",57,8,6,5,5,0,1
"Uruguay",57,8,4,5,4,1,2
"Switzerland",57,8,4,4,4,0,3
"South Africa",57,9,6,7,2,5,1
"Colombia",57,9,6,3,4,-1,2
"England",57,9,4,1,2,-1,3
"Cameroon",57,10,7,9,2,7,1
"Iran",57,10,6,6,5,1,2
"Netherlands",57,10,4,4,6,-2,3
"Ghana",57,11,6,9,5,4,1
"Jamaica",57,11,4,5,5,0,2
"Croatia",57,11,4,2,4,-2,3
"Portugal",57,12,6,6,7,-1,1
"Jordan",57,12,5,4,1,3,2
"Qatar",58,1,6,7,4,3,1
"United States",58,1,4,5,4,1,2
"Nigeria",58,1,4,5,5,0,3
"Saudi Arabia",58,2,9,4,0,4,1
"Chile",58,2,4,5,2,3,2
"Netherlands",58,3,6,4,3,1,1
"Cameroon",58,3,4,6,4,2,2
"Canada",58,3,4,4,5,-1,3
"South Africa",58,4,9,8,3,5,1
"Iran",58,4,6,3,2,1,2
"Colombia",58,4,3,3,3,0,3
"Germany",58,5,7,3,1,2,1
"England",58,5,6,5,3,2,2
"Costa Rica",58,5,3,2,4,-2,3
"Jordan",58,6,6,6,2,4,1
"Morocco",58,6,6,2,1,1,2
"Poland",58,6,4,2,2,0,3
"Croatia",58,7,7,3,1,2,1
"Jamaica",58,7,4,5,5,0,2
"Uzbekistan",58,7,3,5,4,1,3
"Senegal",58,8,7,7,1,6,1
"Ecuador",58,8,6,5,5,0,2
"Korea Republic",58,9,7,5,1,4,1
"Panama",58,9,6,4,4,0,2
"Uruguay",58,10,7,6,1,5,1
"Haiti",58,10,5,4,1,3,2
"Scotland",58,10,4,1,1,0,3
"New Zealand",58,11,5,2,0,2,1
"Denmark",58,11,4,5,2,3,2
"Egypt",58,11,4,2,4,-2,3
"Wales",58,12,7,5,2,3,1
"Norway",58,12,5,3,2,1,2
"Qatar",59,1,7,5,2,3,1
"Chile",59,1,6,3,3,0,2
"United States",59,1,4,5,5,0,3
"Tunisia",59,2,7,9,3,6,1
"Paraguay",59,2,6,6,4,2,2
"New Zealand",59,2,4,2,2,0,3
"Austria",59,3,5,4,3,1,1
"Ghana",59,3,5,3,2,1,2
"Canada",59,3,3,4,4,0,3
"Haiti",59,4,9,8,2,6,1
"England",59,4,6,3,3,0,2
"Colombia",59,5,6,3,3,0,1
"France",59,5,4,5,4,1,2
"Australia",59,5,4,2,1,1,3
"Panama",59,6,7,6,1,5,1
"Algeria",59,6,6,5,6,-1,2
"Wales",59,6,4,4,4,0,3
"Portugal",59,7,7,6,4,2,1
"Iran",59,7,6,9,7,2,2
"Norway",59,8,7,4,1,3,1
"Senegal",59,8,4,4,4,0,2
"Jordan",59,8,4,2,2,0,3
"Scotland",59,9,7,5,1,4,1
"Saudi Arabia",59,9,7,3,1,2,2
"Uzbekistan",59,10,7,8,3,5,1
"Switzerland",59,10,7,7,3,4,2
"Ecuador",59,11,7,6,4,2,1
"Nigeria",59,11,6,4,3,1,2
"Italy",59,11,3,4,3,1,3
"Jamaica",59,12,6,4,3,1,1
"Spain",59,12,4,2,1,1,2
"Cameroon",59,12,4,4,4,0,3
"Chile",60,1,6,6,3,3,1
"Nigeria",60,1,4,4,3,1,2
"United States",60,1,4,4,5,-1,3
"Mexico",60,2,5,4,3,1,1
"Scotland",60,2,4,6,5,1,2
"Colombia",60,2,4,2,3,-1,3
"Ghana",60,3,4,5,2,3,1
"Canada",60,3,4,6,7,-1,2
"Paraguay",60,3,4,3,5,-2,3
"Iran",60,4,9,4,1,3,1
"Costa Rica",60,4,6,6,2,4,2
"Croatia",60,5,9,8,2,6,1
"Jamaica",60,5,6,4,6,-2,2
"Ecuador",60,5,3,4,4,0,3
"Austria",60,6,9,7,3,4,1
"Australia",60,6,4,7,4,3,2
"Tunisia",60,7,5,3,1,2,1
"Panama",60,7,5,3,2,1,2
"Italy",60,7,3,2,4,-2,3
"Jordan",60,8,9,4,1,3,1
"Switzerland",60,8,6,4,1,3,2
"Algeria",60,8,3,1,3,-2,3
"Haiti",60,9,9,9,2,7,1
"Korea Republic",60,9,6,3,3,0,2
"Germany",60,10,7,5,1,4,1
"Belgium",60,10,4,3,5,-2,2
"Egypt",60,11,6,5,4,1,1
"Portugal",60,11,6,4,4,0,2
"Qatar",60,11,4,5,3,2,3
"Norway",60,12,7,7,4,3,1
"Uzbekistan",60,12,5,5,3,2,2
"Denmark",60,12,4,4,5,-1,3
"Cameroon",61,1,7,8,5,3,1
"Australia",61,1,6,5,5,0,2
"United States",61,1,4,6,6,0,3
"Jordan",61,2,7,4,2,2,1
"Scotland",61,2,5,2,1,1,2
"Denmark",61,2,4,2,2,0,3
"Canada",61,3,7,6,3,3,1
"New Zealand",61,3,4,4,4,0,2
"Austria",61,3,3,3,3,0,3
"England",61,4,7,6,3,3,1
"Japan",61,4,6,5,5,0,2
"Costa Rica",61,5,7,7,1,6,1
"Iran",61,5,6,7,4,3,2
"Senegal",61,6,7,4,2,2,1
"Paraguay",61,6,4,3,3,0,2
"Belgium",61,6,4,2,2,0,3
"Panama",61,7,6,7,5,2,1
"Morocco",61,7,4,6,6,0,2
"Colombia",61,7,4,3,4,-1,3
"Switzerland",61,8,9,4,0,4,1
"Egypt",61,8,4,5,6,-1,2
"Poland",61,9,5,7,4,3,1
"Norway",61,9,4,7,6,1,2
"South Africa",61,9,4,3,4,-1,3
"Qatar",61,10,7,5,2,3,1
"Wales",61,10,5,2,1,1,2
"Italy",61,10,3,5,6,-1,3
"Algeria",61,11,7,5,1,4,1
"Uzbekistan",61,11,6,4,4,0,2
"Croatia",61,11,3,3,4,-1,3
"Ghana",61,12,9,7,1,6,1
"Jamaica",61,12,4,5,6,-1,2
"United States",62,1,7,7,3,4,1
"Ghana",62,1,4,4,6,-2,2
"Poland",62,1,2,3,4,-1,3
"Saudi Arabia",62,2,9,9,2,7,1
"Algeria",62,2,6,7,4,3,2
"Canada",62,3,5,4,3,1,1
"South Africa",62,3,5,4,3,1,2
"Denmark",62,3,4,6,5,1,3
"Qatar",62,4,9,4,1,3,1
"Switzerland",62,4,4,3,3,0,2
"Haiti",62,5,4,5,4,1,1
"Colombia",62,5,4,3,3,0,2
"Iran",62,5,4,3,4,-1,3
"Tunisia",62,6,5,6,3,3,1
"Korea Republic",62,6,5,2,1,1,2
"Costa Rica",62,6,3,3,3,0,3
"Chile",62,7,7,5,2,3,1
"Egypt",62,7,6,5,3,2,2
"Netherlands",62,8,9,6,2,4,1
"Nigeria",62,8,3,4,3,1,2
"Ecuador",62,8,3,5,7,-2,3
"Cameroon",62,9,9,9,3,6,1
"Norway",62,9,6,7,3,4,2
"Jordan",62,10,7,3,1,2,1
"Argentina",62,10,4,2,2,0,2
"Croatia",62,10,3,1,2,-1,3
"Panama",62,11,9,6,2,4,1
"Wales",62,11,6,3,3,0,2
"Brazil",62,11,3,2,2,0,3
"Paraguay",62,12,5,2,1,1,1
"France",62,12,4,3,3,0,2
"Uzbekistan",62,12,3,3,3,0,3
"Netherlands",63,1,7,6,2,4,1
"Australia",63,1,4,5,4,1,2
"United States",63,1,4,2,4,-2,3
"Scotland",63,2,7,4,1,3,1
"Mexico",63,2,4,4,3,1,2
"Ghana",63,2,4,2,2,0,3
"Canada",63,3,6,8,4,4,1
"Germany",63,3,4,5,4,1,2
"Algeria",63,3,4,2,6,-4,3
"Jamaica",63,4,7,3,1,2,1
"Jordan",63,4,4,2,2,0,2
"Austria",63,5,6,6,4,2,1
"Brazil",63,5,4,2,3,-1,2
"Costa Rica",63,5,4,2,5,-3,3
"Denmark",63,6,7,6,1,5,1
"Paraguay",63,6,4,1,2,-1,2
"Haiti",63,6,3,0,0,0,3
"Panama",63,7,9,6,2,4,1
"Iran",63,7,4,3,2,1,2
"Wales",63,8,7,3,1,2,1
"Qatar",63,8,6,3,2,1,2
"Korea Republic",63,9,7,3,1,2,1
"Colombia",63,9,4,5,5,0,2
"France",63,10,5,4,3,1,1
"Saudi Arabia",63,10,4,3,2,1,2
"Nigeria",63,10,4,2,5,-3,3
"Belgium",63,11,6,7,3,4,1
"New Zealand",63,11,6,6,3,3,2
"Switzerland",63,11,3,5,6,-1,3
"South Africa",63,12,5,3,1,2,1
"Poland",63,12,5,2,1,1,2
"Japan",63,12,4,3,3,0,3
"Nigeria",64,1,6,6,3,3,1
"New Zealand",64,1,6,10,8,2,2
"United States",64,1,6,4,4,0,3
"Saudi Arabia",64,2,5,6,2,4,1
"Morocco",64,2,5,2,1,1,2
"Paraguay",64,3,7,6,4,2,1
"Cameroon",64,3,4,4,4,0,2
"Canada",64,3,3,3,3,0,3
"Iran",64,4,7,8,5,3,1
"Tunisia",64,4,7,5,3,2,2
"Korea Republic",64,5,7,3,1,2,1
"Spain",64,5,6,5,4,1,2
"Poland",64,5,4,5,5,0,3
"Chile",64,6,6,4,3,1,1
"South Africa",64,6,4,5,3,2,2
"Jamaica",64,6,4,3,2,1,3
"Costa Rica",64,7,5,4,2,2,1
"Switzerland",64,7,5,4,3,1,2
"Croatia",64,8,7,4,1,3,1
"Australia",64,8,4,1,2,-1,2
"Uruguay",64,8,3,3,3,0,3
"Uzbekistan",64,9,9,5,1,4,1
"Algeria",64,9,4,6,4,2,2
"Colombia",64,9,4,4,4,0,3
"Japan",64,10,9,6,1,5,1
"Senegal",64,10,3,3,4,-1,2
"Wales",64,11,6,6,6,0,1
"Qatar",64,11,4,5,5,0,2
"Belgium",64,11,4,3,3,0,3
"Argentina",64,12,6,7,6,1,1
"Scotland",64,12,5,4,2,2,2
"Jordan",64,12,4,4,4,0,3
"Chile",65,1,5,2,1,1,1
"United States",65,1,4,2,1,1,2
"Saudi Arabia",65,1,3,1,1,0,3
"Paraguay",65,2,6,6,3,3,1
"Mexico",65,2,6,5,3,2,2
"Canada",65,3,9,8,1,7,1
"Qatar",65,3,3,4,6,-2,2
"Colombia",65,4,7,5,3,2,1
"Jamaica",65,4,4,2,2,0,2
"France",65,4,3,4,4,0,3
"Japan",65,5,5,4,3,1,1
"Uruguay",65,5,4,4,4,0,2
"Costa Rica",65,5,4,3,3,0,3
"Panama",65,6,9,3,0,3,1
"Brazil",65,6,2,3,4,-1,2
"Germany",65,7,7,5,2,3,1
