"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Panama",8,7,7,10,6,4,1
"Tunisia",8,7,6,10,4,6,2
"Poland",8,8,9,9,1,8,1
"Brazil",8,8,4,4,5,-1,2
"Algeria",8,9,9,6,2,4,1
"England",8,9,4,2,2,0,2
"New Zealand",8,9,3,3,4,-1,3
"South Africa",8,10,7,6,2,4,1
"Argentina",8,10,4,4,5,-1,2
"Austria",8,10,3,3,3,0,3
"Germany",8,11,7,4,1,3,1
"Haiti",8,11,6,4,3,1,2
"Uruguay",8,11,4,2,2,0,3
"Switzerland",8,12,7,4,1,3,1
"Jordan",8,12,4,3,3,0,2
"Italy",8,12,3,2,3,-1,3
"Egypt",9,1,7,3,1,2,1
"Uzbekistan",9,1,5,3,1,2,2
"United States",9,1,3,4,6,-2,3
"Poland",9,2,7,8,4,4,1
"Saudi Arabia",9,2,7,7,3,4,2
"Cameroon",9,3,6,5,3,2,1
"Australia",9,3,5,3,2,1,2
"South Africa",9,4,7,6,3,3,1
"Jamaica",9,4,5,4,2,2,2
"Iran",9,5,5,5,4,1,1
"Italy",9,5,3,4,4,0,2
"Wales",9,5,3,4,4,0,3
"Uruguay",9,6,7,3,1,2,1
"Korea Republic",9,6,4,3,3,0,2
"Haiti",9,6,3,3,3,0,3
"Spain",9,7,7,4,2,2,1
"Ecuador",9,7,3,4,4,0,2
"Jordan",9,8,6,7,3,4,1
"Norway",9,8,6,6,4,2,2
"Brazil",9,8,3,4,5,-1,3
"Ghana",9,9,6,5,3,2,1
"Portugal",9,9,4,6,3,3,2
"Colombia",9,9,4,3,3,0,3
"Tunisia",9,10,6,5,2,3,1
"Qatar",9,10,6,5,4,1,2
"Paraguay",9,10,4,3,3,0,3
"Chile",9,11,7,4,2,2,1
"Belgium",9,11,6,4,3,1,2
"Costa Rica",9,11,3,4,4,0,3
"Morocco",9,12,5,8,3,5,1
"New Zealand",9,12,5,5,2,3,2
"Germany",9,12,4,3,4,-1,3
"Cameroon",10,1,9,7,2,5,1
"Chile",10,1,4,3,5,-2,2
"Scotland",10,2,9,4,0,4,1
"Uzbekistan",10,2,4,3,3,0,2
"Poland",10,2,4,4,5,-1,3
"Canada",10,3,9,4,1,3,1
"Austria",10,3,4,2,2,0,2
"Ghana",10,3,3,2,2,0,3
"Denmark",10,4,6,3,3,0,1
"Argentina",10,4,4,2,1,1,2
"Panama",10,4,4,2,1,1,3
"Korea Republic",10,5,6,4,2,2,1
"Netherlands",10,5,6,4,3,1,2
"Ecuador",10,5,4,3,3,0,3
"New Zealand",10,6,7,5,2,3,1
"Jamaica",10,6,3,4,4,0,2
"Qatar",10,7,7,10,3,7,1
"Tunisia",10,7,4,3,2,1,2
"Italy",10,7,4,4,7,-3,3
"Algeria",10,8,7,6,3,3,1
"Saudi Arabia",10,8,4,4,3,1,2
"Germany",10,9,5,4,3,1,1
"England",10,9,5,3,2,1,2
"Costa Rica",10,9,3,4,3,1,3
"Egypt",10,10,7,4,1,3,1
"Croatia",10,10,5,3,1,2,2
"Jordan",10,10,4,2,3,-1,3
"Norway",10,11,9,7,1,6,1
"Haiti",10,11,4,3,4,-1,2
"Brazil",10,11,4,2,3,-1,3
"Spain",10,12,9,5,1,4,1
"South Africa",10,12,6,7,5,2,2
"United States",11,1,7,7,4,3,1
"Croatia",11,1,4,6,4,2,2
"Mexico",11,2,9,6,3,3,1
"Scotland",11,2,3,5,6,-1,2
"Colombia",11,2,3,3,4,-1,3
"New Zealand",11,3,7,6,3,3,1
"Tunisia",11,3,5,2,1,1,2
"Saudi Arabia",11,4,7,4,1,3,1
"Denmark",11,4,5,3,2,1,2
"Wales",11,5,5,4,3,1,1
"Uruguay",11,5,4,8,5,3,2
"Morocco",11,5,4,4,6,-2,3
"Japan",11,6,6,5,5,0,1
"Cameroon",11,6,5,4,1,3,2
"Ecuador",11,7,9,6,2,4,1
"Norway",11,7,4,4,5,-1,2
"Poland",11,7,2,3,4,-1,3
"Paraguay",11,8,7,6,4,2,1
"Switzerland",11,8,5,3,2,1,2
"Costa Rica",11,8,3,2,2,0,3
"Austria",11,9,7,4,2,2,1
"Portugal",11,9,6,5,4,1,2
"Ghana",11,9,3,2,3,-1,3
"Jordan",11,10,7,5,1,4,1
"Senegal",11,10,6,3,2,1,2
"Jamaica",11,10,4,2,3,-1,3
"Spain",11,11,7,4,2,2,1
"Netherlands",11,11,5,4,2,2,2
"Panama",11,11,4,4,2,2,3
"Haiti",11,12,7,9,3,6,1
"Algeria",11,12,6,5,5,0,2
"Germany",11,12,3,6,7,-1,3
"United States",12,1,6,3,2,1,1
"Ghana",12,1,4,2,2,0,2
"Ghana",12,1,4,2,2,0,3
"Mexico",12,2,5,5,4,1,1
"Denmark",12,2,3,3,3,0,2
"Canada",12,3,7,4,2,2,1
"Switzerland",12,3,6,5,2,3,2
"Uzbekistan",12,4,6,5,2,3,1
"Jamaica",12,4,4,4,2,2,2
"Portugal",12,4,4,3,5,-2,3
"Costa Rica",12,5,7,5,3,2,1
"Belgium",12,5,4,4,5,-1,2
"Tunisia",12,5,3,6,6,0,3
"Morocco",12,6,6,4,2,2,1
"Argentina",12,6,4,3,2,1,2
"Panama",12,6,4,5,5,0,3
"Iran",12,7,5,5,2,3,1
"Haiti",12,7,5,1,0,1,2
"Senegal",12,7,3,3,3,0,3
"Wales",12,8,6,3,2,1,1
"Uruguay",12,8,4,3,2,1,2
"Egypt",12,8,4,2,3,-1,3
"Norway",12,9,4,6,5,1,1
"Germany",12,9,4,4,4,0,2
"Cameroon",12,9,4,5,6,-1,3
"Saudi Arabia",12,10,9,6,1,5,1
"Colombia",12,10,4,4,5,-1,2
"England",12,11,7,7,2,5,1
"Austria",12,11,6,4,4,0,2
"South Africa",12,11,4,4,4,0,3
"Italy",12,12,5,4,3,1,1
"Scotland",12,12,4,7,3,4,2
"New Zealand",13,1,6,9,4,5,1
