"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Senegal","8","Uruguay","4","2","60"
"Argentina","1","Austria","11","3","60"
"Mexico","2","Colombia","5","4","60"
"Argentina","12","Belgium","4","1","61"
"Brazil","5","Colombia","8","2","61"
"France","8","Scotland","3","3","61"
"England","6","Austria","10","4","61"
"France","6","Netherlands","9","1","62"
"Mexico","2","Argentina","12","2","62"
"Italy","11","Croatia","10","3","62"
"Germany","4","Belgium","3","4","62"
"Colombia","4","Ghana","9","1","63"
"France","12","Portugal","6","2","63"
"Belgium","2","Germany","2","3","63"
"Brazil","6","Costa Rica","2","4","63"
"Korea Republic","10","Nigeria","4","1","64"
"Croatia","8","Belgium","12","2","64"
"Germany","4","Brazil","6","3","64"
"England","5","Poland","7","4","64"
"Uruguay","10","Argentina","12","1","65"
"Denmark","8","Germany","2","2","65"
"Mexico","1","Canada","4","3","65"
"France","4","Scotland","10","4","65"
"Belgium","8","England","1","1","66"
"Brazil","12","Argentina","4","2","66"
"Switzerland","5","France","2","3","66"
"Nigeria","6","Netherlands","1","4","66"
"Chile","8","Colombia","5","1","67"
"Croatia","2","England","6","2","67"
"Uruguay","6","Argentina","9","3","67"
"Portugal","7","Italy","8","4","67"
"Italy","7","Paraguay","8","1","68"
"Denmark","3","Brazil","9","2","68"
"Colombia","2","France","8","3","68"
"Austria","12","Qatar","10","4","68"
"Argentina","9","Belgium","12","1","69"
"Brazil","3","Egypt","2","2","69"
"Korea Republic","8","Italy","1","3","69"
"Netherlands","2","Colombia","6","4","69"
"Uruguay","8","England","9","1","70"
"Austria","5","Brazil","10","2","70"
"Portugal","3","France","11","3","70"
"Colombia","5","Chile","12","4","70"
"Brazil","10","Portugal","1","1","71"
"Italy","7","Denmark","7","2","71"
"Germany","5","Mexico","9","3","71"
"Ecuador","6","Argentina","4","4","71"
"Denmark","7","Colombia","12","1","72"
"Croatia","1","Chile","6","2","72"
"Paraguay","10","Poland","3","3","72"
"England","4","Argentina","12","4","72"
"Switzerland","10","Jamaica","4","1","73"
"Mexico","7","Spain","7","2","73"
"Italy","10","Belgium","12","3","73"
"Uruguay","5","Brazil","1","4","73"
"Germany","10","Ecuador","5","1","74"
"France","10","Spain","7","2","74"
"Portugal","11","Brazil","1","3","74"
"United States","1","Belgium","2","4","74"
"England","4","Spain","11","1","75"
"Brazil","6","France","7","2","75"
"Mexico","12","Germany","1","3","75"
"Denmark","4","Austria","9","4","75"
"France","9","Canada","5","1","76"
"Belgium","2","Spain","4","2","76"
"Colombia","11","Portugal","7","3","76"
"Mexico","2","Argentina","5","4","76"
"France","5","Colombia","4","1","77"
"Brazil","3","Belgium","1","2","77"
"Poland","8","Costa Rica","6","3","77"
"Algeria","11","Italy","7","4","77"
"Netherlands","8","France","8","1","78"
"Mexico","2","England","4","2","78"
"Uruguay","6","Denmark","12","3","78"
"Poland","1","Ecuador","8","4","78"
