"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Nigeria",6,1,"Senegal",5,1,3,24
"Tunisia",3,2,"Austria",2,2,4,24
"Costa Rica",6,3,"Jordan",3,3,5,24
"Norway",3,1,"Chile",9,2,6,24
"South Africa",8,1,"Haiti",7,3,7,24
"Japan",11,1,"Algeria",12,2,8,24
"Qatar",6,1,"Iran",3,1,1,25
"Morocco",1,3,"Paraguay",12,2,2,25
"Saudi Arabia",7,1,"Canada",3,2,3,25
"Argentina",8,1,"Germany",12,1,4,25
"Poland",9,2,"United States",1,2,5,25
"Egypt",6,3,"France",6,2,6,25
"Jordan",9,1,"Italy",4,2,7,25
"Haiti",12,3,"Japan",8,2,8,25
"Haiti",11,3,"Egypt",10,3,1,26
"Costa Rica",5,1,"France",7,3,2,26
"South Africa",6,1,"Ecuador",2,3,3,26
"Portugal",10,2,"England",9,3,4,26
"Austria",11,1,"Senegal",8,3,5,26
"Algeria",1,2,"Jamaica",7,1,6,26
"Korea Republic",8,1,"New Zealand",8,2,7,26
"Norway",3,2,"Nigeria",5,2,8,26
"Uruguay",9,2,"Jordan",12,1,1,27
"Argentina",11,1,"Chile",5,1,2,27
"Denmark",11,2,"Nigeria",9,1,3,27
"Jamaica",10,1,"Saudi Arabia",5,3,4,27
"Senegal",8,2,"Norway",8,3,5,27
"Poland",2,2,"Switzerland",4,3,6,27
"Uzbekistan",4,1,"New Zealand",3,1,7,27
"Morocco",5,2,"Croatia",6,1,8,27
"Poland",11,2,"Belgium",12,3,1,28
"Italy",10,3,"Panama",12,1,2,28
"Ghana",1,1,"Uzbekistan",10,2,3,28
"Costa Rica",4,2,"Cameroon",2,1,4,28
"Germany",8,2,"Canada",3,2,5,28
"Algeria",6,2,"Spain",4,3,6,28
"United States",1,2,"Norway",9,3,7,28
"Uruguay",5,1,"Scotland",5,2,8,28
"United States",1,1,"Austria",6,1,1,29
"Australia",11,3,"Costa Rica",11,1,2,29
"Croatia",11,2,"Qatar",7,2,3,29
"Uruguay",7,1,"Jamaica",7,3,4,29
"Colombia",9,1,"Denmark",12,1,5,29
"Germany",2,2,"Jordan",10,2,6,29
"Wales",3,2,"Cameroon",4,1,7,29
"Norway",4,3,"France",5,2,8,29
"Algeria",4,1,"Uzbekistan",9,1,1,30
"Qatar",7,1,"Jordan",5,2,2,30
"Germany",2,1,"Scotland",5,1,3,30
"Austria",1,2,"Egypt",7,2,4,30
"Mexico",2,2,"Canada",3,2,5,30
"Morocco",10,3,"Brazil",12,1,6,30
"New Zealand",12,2,"Cameroon",8,3,7,30
"Spain",6,1,"Haiti",10,1,8,30
"Canada",3,1,"Korea Republic",10,1,1,31
"United States",1,1,"Algeria",5,1,2,31
"Ghana",1,2,"Qatar",11,2,3,31
"Panama",8,1,"Haiti",9,1,4,31
"Costa Rica",5,2,"Jordan",6,1,5,31
"Morocco",6,2,"New Zealand",3,2,6,31
"Belgium",11,3,"Egypt",12,2,7,31
"Portugal",10,2,"Colombia",9,2,8,31
"Belgium",12,3,"Uruguay",5,2,1,32
"Netherlands",4,3,"Mexico",2,3,2,32
"Panama",10,1,"Ghana",11,2,3,32
"Qatar",12,1,"Haiti",5,1,4,32
"Algeria",4,1,"Switzerland",12,2,5,32
"Korea Republic",3,1,"Poland",11,3,6,32
"Costa Rica",6,2,"Denmark",7,2,7,32
"United States",1,3,"Croatia",10,2,8,32
"Korea Republic",7,2,"Australia",5,3,1,33
"Cameroon",9,1,"Paraguay",2,3,2,33
"Saudi Arabia",11,2,"Mexico",2,1,3,33
"Costa Rica",8,2,"Germany",12,1,4,33
"Iran",1,2,"Morocco",3,3,5,33
"Austria",8,1,"Canada",3,2,6,33
"Denmark",6,2,"Colombia",5,2,7,33
"Scotland",10,1,"Haiti",12,2,8,33
"Morocco",9,3,"South Africa",10,1,1,34
"Nigeria",7,1,"Algeria",12,3,2,34
"Australia",5,1,"Mexico",2,3,3,34
"Qatar",3,1,"Iran",10,2,4,34
"Uzbekistan",9,2,"Germany",4,2,5,34
"Canada",3,2,"Jordan",2,2,6,34
"Cameroon",4,3,"Panama",7,2,7,34
"Egypt",1,1,"Scotland",2,1,8,34
"Japan",5,3,"Senegal",1,2,1,35
"Saudi Arabia",2,1,"Algeria",9,1,2,35
"Qatar",11,1,"Belgium",11,2,3,35
"Scotland",7,1,"Korea Republic",6,1,4,35
"Jamaica",11,3,"Portugal",9,2,5,35
"Brazil",8,2,"Jordan",3,3,6,35
"Canada",3,2,"Haiti",8,1,7,35
"Denmark",10,3,"Germany",12,2,8,35
"Wales",1,2,"Cameroon",7,3,1,36
"Uzbekistan",12,1,"Tunisia",6,1,2,36
"Canada",3,2,"Belgium",12,3,3,36
"Australia",7,1,"Costa Rica",6,2,4,36
"Chile",8,1,"Netherlands",2,1,5,36
"Iran",4,2,"Mexico",2,3,6,36
"Morocco",12,2,"Croatia",5,2,7,36
"Norway",5,1,"Haiti",11,2,8,36
"Scotland",5,1,"Austria",12,2,1,37
"Wales",8,3,"Nigeria",7,3,2,37
"Poland",11,1,"Mexico",2,2,3,37
"New Zealand",9,1,"Haiti",4,1,4,37
"Jordan",7,1,"Norway",9,2,5,37
"Tunisia",5,2,"Morocco",1,3,6,37
"Ecuador",10,2,"Egypt",12,1,7,37
"Japan",8,1,"Spain",7,2,8,37
"Cameroon",7,1,"Costa Rica",5,1,1,38
"Denmark",8,3,"Portugal",4,3,2,38
"Uzbekistan",3,3,"Egypt",12,1,3,38
"Qatar",9,3,"Scotland",4,1,4,38
"Saudi Arabia",4,2,"Poland",2,3,5,38
"Belgium",11,1,"South Africa",2,1,6,38
"France",7,2,"New Zealand",1,2,7,38
"Australia",8,1,"Jamaica",9,2,8,38
"New Zealand",2,1,"South Africa",12,1,1,39
"Austria",6,3,"Panama",5,1,2,39
"Brazil",11,3,"Cameroon",1,1,3,39
"Paraguay",8,3,"Uruguay",7,3,4,39
"Australia",10,2,"Wales",12,2,5,39
"Germany",4,3,"Mexico",2,3,6,39
"Jordan",8,1,"Norway",3,1,7,39
"Ecuador",3,2,"Haiti",6,2,8,39
"Qatar",9,2,"Australia",5,1,1,40
"Germany",11,2,"England",9,3,2,40
"Senegal",5,2,"Chile",2,2,3,40
"South Africa",1,1,"Scotland",2,1,4,40
"Jordan",7,2,"Italy",5,3,5,40
"Cameroon",3,2,"Paraguay",3,3,6,40
"Mexico",2,3,"Ghana",8,2,7,40
"Croatia",6,3,"Croatia",6,2,8,40
"Chile",2,1,"Jordan",11,1,1,41
"Nigeria",2,3,"Costa Rica",6,1,2,41
"Panama",12,2,"Colombia",3,3,3,41
"England",12,1,"Scotland",1,1,4,41
"Korea Republic",8,2,"Haiti",5,3,5,41
"Switzerland",11,2,"New Zealand",10,1,6,41
"Croatia",9,2,"United States",1,3,7,41
"Paraguay",9,1,"Portugal",6,2,8,41
"England",11,3,"Ghana",3,2,1,42
"Costa Rica",6,1,"Colombia",10,2,2,42
"Argentina",9,3,"Japan",7,1,3,42
"Jordan",11,2,"Cameroon",12,2,4,42
"Haiti",7,2,"Jamaica",5,3,5,42
"Ecuador",1,2,"Saudi Arabia",4,2,6,42
"Brazil",8,3,"Scotland",9,2,7,42
"New Zealand",10,1,"Algeria",11,1,8,42
"Qatar",8,3,"Cameroon",7,3,1,43
"Haiti",10,1,"Norway",2,1,2,43
"Nigeria",6,2,"Australia",1,3,3,43
"Uzbekistan",2,3,"Panama",5,1,4,43
"Italy",12,2,"Japan",10,2,5,43
"Jamaica",4,2,"Canada",3,3,6,43
"United States",1,2,"Costa Rica",9,2,7,43
"Algeria",5,3,"Korea Republic",7,1,8,43
"Haiti",6,1,"Panama",8,1,1,44
"Portugal",12,1,"Uzbekistan",9,3,2,44
"Egypt",10,1,"Mexico",2,1,3,44
"Denmark",12,2,"Tunisia",6,2,4,44
"Norway",1,1,"France",10,2,5,44
"Uruguay",11,1,"Japan",5,1,6,44
"Croatia",10,3,"England",5,3,7,44
"New Zealand",2,2,"Costa Rica",7,1,8,44
"Canada",3,1,"New Zealand",7,1,1,45
"United States",1,1,"Ecuador",10,2,2,45
"Netherlands",5,1,"Iran",10,1,3,45
"Spain",11,2,"Qatar",5,2,4,45
"Costa Rica",9,1,"Ghana",12,1,5,45
"Italy",12,2,"Norway",2,2,6,45
"South Africa",1,3,"Denmark",8,2,7,45
"Tunisia",7,2,"Mexico",2,3,8,45
"Senegal",7,1,"Qatar",9,3,1,46
"Canada",3,1,"Austria",4,1,2,46
"Tunisia",6,1,"Paraguay",2,3,3,46
"Jamaica",11,1,"Algeria",12,1,4,46
"Ghana",2,2,"Jordan",8,3,5,46
"Brazil",8,2,"Germany",5,2,6,46
"Japan",7,2,"Scotland",10,3,7,46
"Morocco",8,1,"Wales",10,1,8,46
"Iran",2,1,"Jordan",1,3,1,47
"Jamaica",4,1,"Panama",5,2,2,47
"Egypt",9,2,"Morocco",7,1,3,47
"New Zealand",12,3,"Brazil",8,2,4,47
