"country","score","continent","confederation","pot","group","simulation"
"Portugal",1662,"Europe","UEFA",1,9,6
"Spain",1645,"Europe","UEFA",1,6,6
"Argentina",1642,"South America","CONMEBOL",1,10,6
"Uruguay",1639,"South America","CONMEBOL",1,7,6
"Italy",1625,"Europe","UEFA",1,5,6
"Croatia",1617,"Europe","UEFA",2,6,6
"Denmark",1614,"Europe","UEFA",2,10,6
"Germany",1610,"Europe","UEFA",2,5,6
"Netherlands",1609,"Europe","UEFA",2,4,6
"Colombia",1601,"South America","CONMEBOL",2,8,6
"Switzerland",1593,"Europe","UEFA",2,2,6
"Chile",1567,"South America","CONMEBOL",2,12,6
"Wales",1562,"Europe","UEFA",2,7,6
"Poland",1559,"Europe","UEFA",2,9,6
"Senegal",1558,"Africa","CAF",2,1,6
"Austria",1531,"Europe","UEFA",2,11,6
"Tunisia",1503,"Africa","CAF",2,3,6
"Japan",1502,"Asia","AFC",3,2,6
"Iran",1496,"Asia","AFC",3,7,6
"Algeria",1488,"Africa","CAF",3,9,6
"Morocco",1481,"Africa","CAF",3,4,6
"Paraguay",1476,"South America","CONMEBOL",3,11,6
"Nigeria",1474,"Africa","CAF",3,8,6
"Korea Republic",1465,"Asia","AFC",3,10,6
"Australia",1457,"Asia","AFC",3,5,6
"Norway",1450,"Europe","UEFA",3,3,6
"Jamaica",1437,"North America","CONCACAF",3,6,6
"Scotland",1436,"Europe","UEFA",3,1,6
"Egypt",1432,"Africa","CAF",3,12,6
"Cameroon",1427,"Africa","CAF",4,2,6
"Costa Rica",1427,"North America","CONCACAF",4,4,6
"Ghana",1424,"Africa","CAF",4,10,6
"Ecuador",1409,"South America","CONMEBOL",4,9,6
"Qatar",1391,"Asia","AFC",4,3,6
"Saudi Arabia",1353,"Asia","AFC",4,6,6
"South Africa",1341,"Africa","CAF",4,5,6
"Panama",1312,"North America","CONCACAF",4,7,6
"Haiti",1285,"North America","CONCACAF",4,8,6
"Uzbekistan",1283,"Asia","AFC",4,11,6
"Jordan",1243,"Asia","AFC",4,1,6
"New Zealand",1149,"Oceania","OFC",4,12,6
"Mexico",1632,"North America","CONCACAF",1,2,7
"United States",1548,"North America","CONCACAF",1,1,7
"Canada",1332,"North America","CONCACAF",1,3,7
"Belgium",1780,"Europe","UEFA",1,5,7
"France",1755,"Europe","UEFA",1,10,7
"Brazil",1743,"South America","CONMEBOL",1,8,7
"England",1670,"Europe","UEFA",1,9,7
"Portugal",1662,"Europe","UEFA",1,7,7
"Spain",1645,"Europe","UEFA",1,11,7
"Argentina",1642,"South America","CONMEBOL",1,12,7
"Uruguay",1639,"South America","CONMEBOL",1,4,7
"Italy",1625,"Europe","UEFA",1,6,7
"Croatia",1617,"Europe","UEFA",2,4,7
"Denmark",1614,"Europe","UEFA",2,9,7
"Germany",1610,"Europe","UEFA",2,12,7
"Netherlands",1609,"Europe","UEFA",2,8,7
"Colombia",1601,"South America","CONMEBOL",2,6,7
"Switzerland",1593,"Europe","UEFA",2,2,7
"Chile",1567,"South America","CONMEBOL",2,3,7
"Wales",1562,"Europe","UEFA",2,1,7
"Poland",1559,"Europe","UEFA",2,10,7
"Senegal",1558,"Africa","CAF",2,5,7
"Austria",1531,"Europe","UEFA",2,11,7
"Tunisia",1503,"Africa","CAF",2,7,7
"Japan",1502,"Asia","AFC",3,7,7
"Iran",1496,"Asia","AFC",3,6,7
"Algeria",1488,"Africa","CAF",3,1,7
"Morocco",1481,"Africa","CAF",3,8,7
"Paraguay",1476,"South America","CONMEBOL",3,2,7
"Nigeria",1474,"Africa","CAF",3,9,7
"Korea Republic",1465,"Asia","AFC",3,12,7
"Australia",1457,"Asia","AFC",3,5,7
"Norway",1450,"Europe","UEFA",3,4,7
"Jamaica",1437,"North America","CONCACAF",3,11,7
"Scotland",1436,"Europe","UEFA",3,10,7
"Egypt",1432,"Africa","CAF",3,3,7
"Cameroon",1427,"Africa","CAF",4,6,7
"Costa Rica",1427,"North America","CONCACAF",4,12,7
"Ghana",1424,"Africa","CAF",4,11,7
"Ecuador",1409,"South America","CONMEBOL",4,10,7
"Qatar",1391,"Asia","AFC",4,8,7
"Saudi Arabia",1353,"Asia","AFC",4,1,7
"South Africa",1341,"Africa","CAF",4,2,7
"Panama",1312,"North America","CONCACAF",4,5,7
"Haiti",1285,"North America","CONCACAF",4,4,7
"Uzbekistan",1283,"Asia","AFC",4,3,7
"Jordan",1243,"Asia","AFC",4,9,7
"New Zealand",1149,"Oceania","OFC",4,7,7
"Mexico",1632,"North America","CONCACAF",1,2,8
"United States",1548,"North America","CONCACAF",1,1,8
"Canada",1332,"North America","CONCACAF",1,3,8
"Belgium",1780,"Europe","UEFA",1,4,8
"France",1755,"Europe","UEFA",1,12,8
"Brazil",1743,"South America","CONMEBOL",1,7,8
"England",1670,"Europe","UEFA",1,5,8
"Portugal",1662,"Europe","UEFA",1,10,8
