"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Costa Rica",4,1,"Norway",1,2,14,37
"Ecuador",6,2,"Belgium",7,1,15,37
"Argentina",11,2,"Mexico",2,1,16,37
"Croatia",1,1,"Denmark",6,3,1,38
"Korea Republic",9,1,"Mexico",2,2,2,38
"Spain",5,1,"Norway",7,3,3,38
"Netherlands",3,1,"Japan",4,3,4,38
"England",11,1,"Canada",3,2,5,38
"France",8,1,"Uruguay",9,3,6,38
"Poland",4,1,"Ghana",11,3,7,38
"Italy",7,1,"Scotland",3,3,8,38
"Germany",2,1,"Uzbekistan",12,3,9,38
"Paraguay",6,1,"Saudi Arabia",8,3,10,38
"Brazil",10,1,"Switzerland",7,2,11,38
"Egypt",12,2,"Argentina",4,2,12,38
"Belgium",12,1,"Portugal",6,2,13,38
"Austria",10,2,"Iran",5,2,14,38
"Jamaica",8,2,"United States",1,2,15,38
"Costa Rica",9,2,"Colombia",11,2,16,38
"Spain",11,1,"New Zealand",10,3,1,39
"England",8,1,"Croatia",11,3,2,39
"Belgium",5,1,"Saudi Arabia",11,2,3,39
"Poland",3,1,"Ghana",8,3,4,39
"Brazil",4,1,"Colombia",5,2,5,39
"Wales",12,2,"Algeria",2,3,6,39
"France",7,1,"South Africa",5,3,7,39
"Mexico",2,1,"Nigeria",3,2,8,39
"Netherlands",2,2,"Canada",3,3,9,39
"Portugal",6,1,"United States",1,3,10,39
"Switzerland",10,1,"Iran",10,2,11,39
"Argentina",12,1,"Costa Rica",7,2,12,39
"Denmark",4,2,"Senegal",6,2,13,39
"Italy",9,3,"Tunisia",1,2,14,39
"Morocco",9,2,"Ecuador",1,1,15,39
"Austria",8,2,"Germany",9,1,16,39
"Morocco",6,1,"Chile",11,3,1,40
"Italy",11,1,"Argentina",6,3,2,40
"Croatia",1,1,"United States",1,3,3,40
"Spain",9,1,"Uruguay",5,3,4,40
"England",8,1,"Netherlands",4,2,5,40
"Senegal",2,2,"Wales",9,2,6,40
"Nigeria",5,1,"Tunisia",8,2,7,40
"Mexico",2,1,"Colombia",7,3,8,40
"Belgium",4,1,"Poland",6,2,9,40
"Brazil",12,1,"South Africa",9,3,10,40
"Iran",10,3,"Norway",4,3,11,40
"Switzerland",10,2,"Saudi Arabia",12,2,12,40
"Australia",1,2,"Denmark",5,2,13,40
"Algeria",3,2,"France",10,1,14,40
"Korea Republic",7,2,"Germany",3,1,15,40
"Qatar",11,2,"Portugal",7,1,16,40
"France",12,1,"Australia",8,3,1,41
"Belgium",10,1,"Saudi Arabia",3,3,2,41
"Uruguay",5,1,"Egypt",9,3,3,41
"Chile",6,1,"Scotland",12,3,4,41
"Spain",7,1,"Ecuador",11,2,5,41
"Algeria",7,2,"Italy",11,3,6,41
"Nigeria",11,1,"Paraguay",10,3,7,41
"Iran",1,3,"Paraguay",10,2,8,41
"United States",1,2,"Brazil",8,2,9,41
"Qatar",4,1,"Portugal",4,3,10,41
"Senegal",1,1,"Haiti",5,2,11,41
"Denmark",12,2,"Argentina",9,1,12,41
"Korea Republic",2,1,"England",6,2,13,41
"Mexico",2,2,"Croatia",9,2,14,41
"Norway",3,1,"Netherlands",8,1,15,41
"Poland",3,2,"Austria",4,2,16,41
"Austria",10,1,"Egypt",3,2,1,42
"France",11,1,"Wales",9,3,2,42
"Iran",7,1,"Costa Rica",5,2,3,42
"Portugal",4,1,"Spain",7,3,4,42
"Poland",5,1,"Paraguay",11,3,5,42
"Brazil",9,1,"Switzerland",11,2,6,42
"Colombia",3,1,"Croatia",8,2,7,42
"Belgium",12,1,"Netherlands",6,3,8,42
"United States",1,1,"Norway",4,3,9,42
"Senegal",2,2,"Ecuador",2,3,10,42
"Germany",4,2,"Jamaica",8,3,11,42
"Argentina",8,1,"Tunisia",1,2,12,42
"Algeria",9,2,"Australia",12,2,13,42
"Uruguay",10,2,"Saudi Arabia",1,3,14,42
"Mexico",2,1,"Denmark",7,2,15,42
"Cameroon",6,1,"Italy",6,2,16,42
"Brazil",4,1,"Korea Republic",12,2,1,43
"Italy",12,1,"Jamaica",10,3,2,43
"Portugal",8,1,"Ecuador",12,3,3,43
"England",5,1,"South Africa",6,3,4,43
"United States",1,1,"Costa Rica",5,3,5,43
"Chile",9,1,"Costa Rica",5,2,6,43
"Uruguay",10,1,"Canada",3,3,7,43
"Germany",3,1,"Qatar",2,3,8,43
"Colombia",1,2,"Panama",4,2,9,43
"Nigeria",3,2,"Spain",11,2,10,43
"Wales",6,1,"Jordan",9,3,11,43
"Argentina",6,2,"Haiti",11,3,12,43
"France",7,2,"Belgium",9,2,13,43
"Denmark",8,2,"Mexico",2,1,14,43
"Algeria",11,1,"Senegal",10,2,15,43
"Netherlands",7,1,"Norway",2,2,16,43
"Argentina",5,1,"Iran",11,3,1,44
"France",9,1,"Mexico",2,3,2,44
"Egypt",2,1,"Portugal",12,2,3,44
"Chile",6,2,"Uruguay",11,2,4,44
"Switzerland",11,1,"Croatia",10,2,5,44
"Poland",3,1,"Denmark",2,2,6,44
"United States",1,1,"Saudi Arabia",10,3,7,44
"Belgium",6,1,"Italy",7,2,8,44
"Korea Republic",1,2,"Australia",3,2,9,44
"Japan",9,2,"Paraguay",7,3,10,44
"England",10,1,"Cameroon",3,3,11,44
"Costa Rica",12,1,"Austria",12,3,12,44
"Senegal",5,2,"Uzbekistan",4,3,13,44
"Netherlands",8,2,"Brazil",4,1,14,44
"Scotland",8,3,"Wales",4,2,15,44
"Germany",7,1,"Spain",8,1,16,44
"Argentina",6,1,"Saudi Arabia",10,2,1,45
"Denmark",8,1,"Croatia",11,3,2,45
"Spain",11,1,"Chile",7,3,3,45
"United States",1,1,"Japan",6,3,4,45
"France",5,1,"England",12,3,5,45
"Brazil",10,1,"Germany",5,3,6,45
"Portugal",7,1,"Jordan",9,3,7,45
"Paraguay",2,1,"New Zealand",1,2,8,45
"Poland",3,1,"Iran",3,2,9,45
"Senegal",6,2,"Mexico",2,3,10,45
"Korea Republic",11,2,"Algeria",5,2,11,45
"Wales",12,2,"Morocco",7,2,12,45
"Netherlands",9,1,"Jamaica",4,3,13,45
"Scotland",9,2,"Belgium",4,1,14,45
"Italy",8,2,"Colombia",4,2,15,45
"Australia",12,1,"Switzerland",2,2,16,45
"Italy",5,1,"Egypt",12,3,1,46
"Netherlands",9,1,"Australia",9,3,2,46
"England",7,1,"Jordan",6,3,3,46
"Spain",6,1,"Chile",2,3,4,46
"Nigeria",1,1,"United States",1,2,5,46
"Algeria",10,1,"Switzerland",10,3,6,46
"Denmark",11,2,"Morocco",8,3,7,46
"Austria",12,2,"Iran",3,2,8,46
"Portugal",11,1,"Uzbekistan",7,2,9,46
"Croatia",3,1,"Canada",3,3,10,46
"Wales",8,1,"Poland",1,3,11,46
"Brazil",12,1,"Argentina",4,1,12,46
"Tunisia",6,2,"Germany",4,2,13,46
"Norway",2,2,"Korea Republic",5,2,14,46
"Belgium",8,2,"Mexico",2,1,15,46
"France",9,2,"Uruguay",10,2,16,46
"Argentina",4,1,"Scotland",3,3,1,47
"Italy",10,1,"Portugal",9,3,2,47
"Chile",3,1,"Switzerland",10,3,3,47
"Brazil",5,1,"Netherlands",5,2,4,47
"Wales",12,1,"Saudi Arabia",12,3,5,47
"Austria",2,2,"Costa Rica",8,2,6,47
"Colombia",9,1,"Senegal",7,3,7,47
"Korea Republic",9,2,"Japan",7,2,8,47
"Paraguay",2,1,"Poland",1,3,9,47
"Belgium",6,2,"Denmark",8,3,10,47
"Germany",6,1,"Norway",4,2,11,47
"Croatia",11,3,"Iran",10,2,12,47
"Australia",11,2,"Jordan",3,2,13,47
"Spain",8,1,"Uruguay",12,2,14,47
"France",11,1,"Algeria",1,1,15,47
"United States",1,2,"England",7,1,16,47
"Wales",8,1,"Ghana",8,3,1,48
"Denmark",1,1,"Iran",1,2,2,48
"Brazil",12,1,"Japan",4,3,3,48
"France",11,1,"Germany",11,2,4,48
"Poland",9,1,"Portugal",6,3,5,48
"Netherlands",10,1,"Algeria",5,3,6,48
"Haiti",4,1,"New Zealand",2,2,7,48
"Austria",12,2,"Nigeria",10,2,8,48
"Mexico",2,1,"Jamaica",9,3,9,48
"Korea Republic",3,2,"Switzerland",2,3,10,48
"Colombia",6,2,"Argentina",8,2,11,48
"Paraguay",7,2,"Norway",11,3,12,48
"Croatia",7,3,"Senegal",3,1,13,48
"Italy",4,2,"Spain",9,2,14,48
"Belgium",5,1,"England",7,1,15,48
"Chile",5,2,"Egypt",6,1,16,48
"Brazil",6,1,"Algeria",6,3,1,49
"Uruguay",5,1,"Iran",4,3,2,49
"Portugal",9,1,"Poland",11,2,3,49
"Argentina",11,1,"Chile",7,3,4,49
"Panama",4,1,"Wales",1,2,5,49
"Belgium",7,1,"Korea Republic",2,3,6,49
"Denmark",2,1,"Japan",1,3,7,49
"Colombia",8,2,"Scotland",10,3,8,49
"France",8,1,"Jamaica",12,3,9,49
"Italy",10,1,"Spain",12,1,10,49
"Uzbekistan",3,3,"Switzerland",12,2,11,49
"Croatia",3,2,"Egypt",7,2,12,49
"United States",1,1,"England",4,2,13,49
"Mexico",2,2,"Nigeria",3,1,14,49
"Norway",5,2,"Tunisia",10,2,15,49
"Germany",6,2,"Austria",9,2,16,49
"Italy",9,1,"Austria",12,3,1,50
"Brazil",8,1,"Senegal",10,3,2,50
"Spain",10,1,"Qatar",11,3,3,50
"Belgium",11,1,"Norway",6,3,4,50
"England",5,1,"Panama",8,3,5,50
"France",4,1,"Uzbekistan",3,3,6,50
"Algeria",3,2,"Uruguay",7,2,7,50
"Denmark",3,1,"Croatia",7,3,8,50
"Poland",11,2,"United States",1,3,9,50
"Scotland",12,2,"Nigeria",7,1,10,50
"Chile",5,2,"Netherlands",2,1,11,50
"Wales",1,1,"Germany",4,2,12,50
"Korea Republic",1,2,"Portugal",6,1,13,50
"Tunisia",6,2,"Colombia",9,2,14,50
"Japan",10,2,"Switzerland",8,2,15,50
"Argentina",12,1,"Mexico",2,2,16,50
"France",10,1,"Jamaica",12,3,1,51
"Brazil",7,1,"Argentina",4,3,2,51
"Germany",6,1,"Scotland",1,2,3,51
"Italy",6,2,"Australia",10,3,4,51
"United States",1,1,"South Africa",10,2,5,51
"Norway",3,2,"Korea Republic",6,3,6,51
"Portugal",5,1,"Chile",9,3,7,51
"Netherlands",11,1,"Austria",5,3,8,51
"Spain",12,1,"Japan",4,2,9,51
"Croatia",3,1,"Iran",7,2,10,51
"Morocco",2,2,"Tunisia",12,2,11,51
"Switzerland",2,3,"Denmark",4,1,12,51
"Egypt",9,2,"Uzbekistan",5,2,13,51
"Nigeria",8,2,"England",9,1,14,51
"Saudi Arabia",8,3,"Uruguay",8,1,15,51
"Belgium",11,2,"Mexico",2,1,16,51
"France",6,1,"Canada",3,2,1,52
"Colombia",12,1,"Australia",6,3,2,52
"Netherlands",3,1,"United States",1,3,3,52
"Portugal",7,1,"Spain",12,2,4,52
"Iran",1,1,"Italy",4,2,5,52
"Brazil",8,1,"Wales",10,2,6,52
"Chile",4,1,"Saudi Arabia",8,3,7,52
"Argentina",11,1,"Switzerland",11,3,8,52
"Panama",5,2,"Austria",1,2,9,52
"Scotland",5,3,"Korea Republic",10,3,10,52
"Germany",9,3,"Jamaica",4,3,11,52
"Costa Rica",6,2,"Qatar",11,2,12,52
"Croatia",8,2,"Algeria",2,2,13,52
"Nigeria",9,2,"Denmark",2,1,14,52
"Belgium",10,1,"Uruguay",5,1,15,52
"Haiti",7,2,"England",9,1,16,52
"Croatia",8,1,"Norway",12,3,1,53
"Colombia",12,1,"Morocco",8,3,2,53
"England",7,1,"Scotland",7,3,3,53
"Spain",9,1,"Wales",5,3,4,53
"Brazil",4,1,"Argentina",10,3,5,53
"Iran",2,1,"Cameroon",6,3,6,53
"Uruguay",6,1,"Canada",3,3,7,53
"Netherlands",10,1,"Austria",3,2,8,53
"Chile",11,1,"Germany",1,3,9,53
"France",5,1,"Korea Republic",1,2,10,53
"Egypt",10,2,"Senegal",7,2,11,53
"Portugal",8,2,"Belgium",11,2,12,53
"Nigeria",3,1,"Denmark",6,2,13,53
"Italy",12,2,"Japan",5,2,14,53
"Poland",4,2,"Switzerland",2,2,15,53
"Paraguay",9,2,"South Africa",1,1,16,53
"Switzerland",4,1,"Colombia",8,3,1,54
"Belgium",9,1,"Croatia",10,3,2,54
"Chile",1,1,"Uzbekistan",9,3,3,54
"Korea Republic",5,1,"Jamaica",4,3,4,54
"Japan",8,1,"Ecuador",2,2,5,54
"Spain",8,2,"Uruguay",12,3,6,54
"Nigeria",3,1,"Portugal",11,3,7,54
"Brazil",7,2,"Costa Rica",5,3,8,54
"Algeria",2,1,"England",5,2,9,54
"France",6,1,"Qatar",1,2,10,54
"Germany",7,1,"Morocco",9,2,11,54
"Denmark",12,2,"Norway",6,3,12,54
"Ghana",11,1,"Italy",10,2,13,54
"Netherlands",11,2,"Australia",10,1,14,54
"Scotland",12,1,"Senegal",6,2,15,54
"Argentina",4,2,"Austria",3,2,16,54
"Argentina",10,1,"Mexico",2,2,1,55
"Portugal",7,1,"Norway",6,3,2,55
"Brazil",5,1,"Ecuador",1,3,3,55
"Spain",11,1,"Japan",10,3,4,55
"United States",1,1,"Morocco",12,3,5,55
"Australia",1,2,"Denmark",9,3,6,55
"Belgium",12,2,"Senegal",7,2,7,55
"Iran",2,1,"Uruguay",4,2,8,55
"Germany",12,1,"France",8,2,9,55
"Netherlands",4,1,"Saudi Arabia",4,3,10,55
"England",6,1,"Colombia",3,3,11,55
"Italy",9,1,"Nigeria",8,3,12,55
"Uzbekistan",3,2,"Austria",11,2,13,55
"Poland",10,2,"Wales",8,1,14,55
"Canada",3,1,"Chile",6,2,15,55
"Algeria",9,2,"Croatia",5,2,16,55
"Paraguay",6,1,"Senegal",2,3,1,56
"Spain",12,1,"Iran",11,3,2,56
"Argentina",10,1,"Uruguay",7,2,3,56
"Brazil",9,1,"Denmark",5,3,4,56
"Algeria",7,1,"Ecuador",2,2,5,56
"Mexico",2,1,"Tunisia",9,2,6,56
"Portugal",8,1,"Cameroon",4,3,7,56
"Austria",3,2,"Japan",9,3,8,56
"Chile",4,2,"Jordan",8,3,9,56
"Italy",11,2,"Switzerland",7,3,10,56
"Wales",11,1,"United States",1,1,11,56
"Australia",3,1,"Belgium",5,1,12,56
"Croatia",10,2,"Poland",8,2,13,56
"Netherlands",12,2,"Morocco",1,2,14,56
"France",4,1,"Korea Republic",5,2,15,56
"England",6,2,"Colombia",1,3,16,56
"Croatia",4,1,"Switzerland",10,2,1,57
"Brazil",7,1,"United States",1,3,2,57
"Norway",12,1,"Iran",3,3,3,57
"Belgium",10,1,"Ghana",2,3,4,57
"Spain",5,1,"Nigeria",10,3,5,57
"Austria",1,1,"Korea Republic",4,3,6,57
"Ecuador",1,2,"Haiti",11,3,7,57
"Poland",3,1,"Jamaica",5,3,8,57
"England",9,1,"Algeria",8,3,9,57
"Denmark",6,1,"Tunisia",7,2,10,57
"Senegal",5,2,"Italy",11,1,11,57
"Chile",8,2,"Argentina",6,2,12,57
"France",12,2,"Netherlands",11,2,13,57
"Australia",2,2,"New Zealand",3,2,14,57
"Portugal",8,1,"Uruguay",4,2,15,57
"Mexico",2,1,"Paraguay",9,2,16,57
"Denmark",1,1,"Paraguay",4,3,1,58
"Brazil",10,1,"Tunisia",2,3,2,58
"Portugal",6,1,"United States",1,2,3,58
"England",7,1,"Nigeria",1,3,4,58
"Korea Republic",2,2,"Saudi Arabia",10,3,5,58
"Netherlands",4,1,"Senegal",9,3,6,58
"Poland",11,1,"Italy",4,2,7,58
"Germany",3,1,"Argentina",12,2,8,58
"Uruguay",5,1,"Wales",5,2,9,58
"Mexico",2,1,"Switzerland",12,3,10,58
"Belgium",8,1,"Austria",10,2,11,58
"Spain",9,1,"Australia",9,2,12,58
"Colombia",6,2,"Qatar",5,3,13,58
"France",11,2,"Cameroon",3,2,14,58
"Algeria",7,2,"South Africa",11,3,15,58
"Croatia",8,2,"Norway",12,1,16,58
"England",12,1,"Scotland",9,3,1,59
"Poland",9,1,"Qatar",4,3,2,59
"Mexico",2,1,"Iran",1,3,3,59
"Chile",1,1,"Cameroon",5,3,4,59
"Germany",3,1,"Saudi Arabia",10,3,5,59
"Brazil",6,1,"Senegal",6,2,6,59
"Uruguay",7,1,"Belgium",11,2,7,59
"Italy",4,1,"Netherlands",11,3,8,59
"France",10,1,"Nigeria",3,2,9,59
"United States",1,2,"Norway",12,3,10,59
"Ghana",8,3,"Wales",12,2,11,59
"Morocco",11,1,"Korea Republic",2,2,12,59
"Argentina",9,2,"Paraguay",10,2,13,59
"Spain",8,2,"Croatia",4,2,14,59
"Algeria",7,2,"Portugal",5,1,15,59
"Colombia",8,1,"Denmark",5,2,16,59
"Iran",3,1,"Chile",11,1,1,60
"Switzerland",4,1,"Poland",7,2,2,60
"Belgium",8,1,"France",11,2,3,60
"Brazil",12,1,"Cameroon",10,3,4,60
"Spain",9,1,"Senegal",8,2,5,60
"Croatia",6,2,"Germany",5,3,6,60
"Paraguay",2,1,"Uruguay",4,2,7,60
"Italy",6,1,"Tunisia",3,3,8,60
"Argentina",7,1,"Ecuador",3,2,9,60
"Wales",1,2,"Nigeria",1,3,10,60
"United States",1,1,"Norway",11,3,11,60
"Austria",9,2,"Australia",8,3,12,60
"Portugal",10,1,"Costa Rica",7,3,13,60
"Mexico",2,2,"New Zealand",4,3,14,60
"Netherlands",12,2,"England",5,1,15,60
"Morocco",5,2,"Colombia",10,2,16,60
"Italy",9,1,"Argentina",5,2,1,61
"Spain",12,1,"Algeria",9,2,2,61
"Portugal",4,1,"Wales",4,2,3,61
"Belgium",10,1,"Switzerland",9,3,4,61
"Brazil",11,1,"Netherlands",5,3,5,61
"Iran",5,1,"Senegal",1,2,6,61
"Mexico",2,1,"Colombia",12,2,7,61
"Poland",3,1,"Japan",8,3,8,61
"Germany",7,1,"France",7,3,9,61
"Uruguay",8,1,"Jamaica",6,3,10,61
"Australia",7,2,"Jamaica",6,2,11,61
"United States",1,1,"Scotland",3,3,12,61
"Ecuador",3,2,"Chile",2,2,13,61
"England",6,1,"Norway",1,3,14,61
"Austria",8,2,"Croatia",11,2,15,61
"Egypt",2,3,"Paraguay",10,2,16,61
"Uruguay",4,1,"Korea Republic",6,3,1,62
"France",11,1,"Canada",3,3,2,62
"Portugal",8,1,"Netherlands",9,3,3,62
"Nigeria",1,1,"Algeria",10,3,4,62
"Norway",5,2,"Mexico",2,2,5,62
"England",5,1,"Chile",11,2,6,62
"Poland",7,1,"Switzerland",12,2,7,62
"Brazil",6,1,"Argentina",7,2,8,62
"Italy",10,1,"Uzbekistan",12,3,9,62
"Spain",9,1,"Japan",11,3,10,62
"Croatia",6,2,"Senegal",8,2,11,62
"Denmark",10,2,"Ghana",7,3,12,62
"Australia",2,1,"South Africa",2,3,13,62
"Germany",4,2,"Wales",3,1,14,62
"Belgium",12,1,"Ecuador",9,2,15,62
"Colombia",1,2,"Morocco",3,2,16,62
"Netherlands",4,1,"Croatia",8,3,1,63
"Colombia",3,1,"Senegal",5,2,2,63
"England",8,1,"Ghana",7,3,3,63
"Poland",9,1,"Scotland",5,3,4,63
"Argentina",5,1,"Uruguay",12,2,5,63
"France",7,1,"Norway",11,2,6,63
"Italy",11,1,"Denmark",10,3,7,63
"Portugal",6,1,"Canada",3,2,8,63
"Korea Republic",1,1,"Mexico",2,3,9,63
"Belgium",10,1,"United States",1,3,10,63
"Germany",12,1,"Tunisia",11,3,11,63
"Switzerland",2,1,"Paraguay",7,2,12,63
"Jamaica",8,2,"Nigeria",6,2,13,63
"Brazil",4,2,"Chile",6,3,14,63
"Spain",9,2,"Iran",2,2,15,63
"Costa Rica",10,2,"Wales",1,2,16,63
"Austria",2,1,"Korea Republic",2,3,1,64
"Spain",7,1,"Switzerland",10,1,2,64
"Nigeria",4,1,"Qatar",11,2,3,64
"Tunisia",3,1,"Morocco",10,2,4,64
"Colombia",5,1,"Croatia",8,2,5,64
"Australia",9,1,"United States",1,3,6,64
"Belgium",8,1,"Jamaica",11,3,7,64
"Japan",12,1,"Jordan",5,3,8,64
"Paraguay",6,3,"Germany",4,3,9,64
"Chile",1,1,"Scotland",3,2,10,64
"Brazil",4,2,"Mexico",2,2,11,64
"Denmark",6,2,"Haiti",10,3,12,64
"Senegal",11,1,"Ecuador",9,3,13,64
"England",5,2,"Portugal",12,2,14,64
"Italy",9,2,"Iran",1,2,15,64
"Poland",7,2,"France",6,1,16,64
"Italy",9,1,"Iran",8,3,1,65
"Uruguay",10,1,"Australia",2,3,2,65
"Argentina",6,1,"Jamaica",6,3,3,65
"Brazil",12,1,"Morocco",12,3,4,65
"Belgium",7,1,"Denmark",10,3,5,65
"Spain",8,1,"Cameroon",9,2,6,65
"Switzerland",8,2,"Algeria",1,2,7,65
"Portugal",5,1,"Germany",2,2,8,65
"United States",1,1,"Poland",1,3,9,65
"Mexico",2,1,"England",4,3,10,65
"Costa Rica",4,1,"Uzbekistan",3,3,11,65
"Colombia",11,1,"Canada",3,2,12,65
"Tunisia",6,2,"Korea Republic",4,2,13,65
"Wales",3,1,"France",11,2,14,65
"Egypt",7,2,"Netherlands",12,2,15,65
"Qatar",5,2,"Scotland",10,2,16,65
"Portugal",8,1,"Paraguay",10,3,1,66
"Belgium",4,1,"Algeria",7,3,2,66
"England",10,1,"Ecuador",3,3,3,66
"Tunisia",3,1,"New Zealand",1,3,4,66
"Spain",7,1,"Croatia",12,3,5,66
"Italy",9,1,"Brazil",11,2,6,66
"Austria",11,1,"Argentina",6,3,7,66
"Uruguay",5,1,"Australia",4,2,8,66
"Switzerland",5,2,"Jamaica",9,2,9,66
"Korea Republic",12,2,"Canada",3,2,10,66
"Scotland",2,1,"Mexico",2,3,11,66
"France",12,1,"Iran",8,2,12,66
"Nigeria",1,2,"Saudi Arabia",7,2,13,66
"Poland",6,2,"Costa Rica",4,3,14,66
"Netherlands",1,1,"Colombia",2,2,15,66
"Germany",10,2,"Norway",6,1,16,66
"Switzerland",10,1,"Chile",8,3,1,67
"Korea Republic",8,1,"Panama",4,3,2,67
"France",5,1,"Egypt",3,3,3,67
"Colombia",11,1,"Scotland",12,3,4,67
"Croatia",3,1,"Australia",5,3,5,67
"United States",1,1,"Uzbekistan",2,3,6,67
"Mexico",2,1,"Germany",6,3,7,67
"England",4,1,"Iran",9,2,8,67
"Uruguay",6,1,"Paraguay",2,2,9,67
"Netherlands",12,2,"Norway",4,2,10,67
"Argentina",12,1,"Ecuador",1,2,11,67
"Brazil",9,1,"Spain",11,2,12,67
"Wales",7,3,"Belgium",10,2,13,67
"Canada",3,2,"Portugal",7,1,14,67
"Poland",5,2,"Italy",8,2,15,67
"Cameroon",6,2,"Algeria",7,2,16,67
"Portugal",8,1,"Germany",11,3,1,68
"Italy",7,1,"Wales",1,3,2,68
"United States",1,1,"Haiti",9,3,3,68
"Mexico",2,2,"Paraguay",8,3,4,68
"Croatia",4,2,"Tunisia",5,3,5,68
"Denmark",3,1,"Algeria",2,3,6,68
"Brazil",4,1,"Egypt",3,3,7,68
"Belgium",5,1,"Chile",9,2,8,68
"Argentina",11,1,"Switzerland",10,2,9,68
"Colombia",2,1,"Saudi Arabia",1,2,10,68
"France",9,1,"Uzbekistan",10,3,11,68
"Ecuador",5,2,"Netherlands",8,2,12,68
"Canada",3,2,"Uruguay",12,1,13,68
"Ghana",11,2,"Austria",12,2,14,68
"Scotland",10,1,"Korea Republic",7,2,15,68
"Morocco",6,1,"Qatar",6,2,16,68
"England",7,1,"Argentina",11,3,1,69
"Denmark",9,1,"Algeria",1,3,2,69
"Belgium",10,1,"Costa Rica",7,2,3,69
"France",12,1,"Scotland",3,3,4,69
"Switzerland",1,1,"Brazil",9,2,5,69
"Austria",3,1,"Ghana",3,2,6,69
"Croatia",11,1,"Japan",2,3,7,69
"Spain",8,1,"Egypt",11,2,8,69
"Portugal",5,1,"Australia",9,3,9,69
"Poland",12,2,"Korea Republic",8,2,10,69
"Senegal",4,2,"Italy",6,3,11,69
"Morocco",6,1,"Qatar",1,2,12,69
"Chile",10,2,"Panama",8,3,13,69
"Netherlands",2,1,"Iran",4,3,14,69
"Uruguay",4,1,"Germany",6,2,15,69
"Mexico",2,2,"Colombia",5,2,16,69
"Uruguay",8,1,"Wales",2,3,1,70
"Spain",12,1,"Germany",11,3,2,70
"Mexico",2,1,"England",9,3,3,70
"Belgium",11,1,"Saudi Arabia",3,3,4,70
"Algeria",7,1,"Austria",7,3,5,70
"Nigeria",9,1,"Morocco",5,3,6,70
"Poland",6,2,"Ecuador",10,3,7,70
"Brazil",6,1,"Croatia",10,2,8,70
"Senegal",3,1,"Uzbekistan",8,2,9,70
"Portugal",4,1,"Egypt",4,2,10,70
"France",5,1,"Australia",2,2,11,70
"Korea Republic",11,2,"Paraguay",3,2,12,70
"Denmark",5,2,"Argentina",7,2,13,70
"United States",1,3,"Colombia",1,1,14,70
"Scotland",1,2,"Netherlands",12,2,15,70
"Italy",10,1,"Chile",9,2,16,70
"Austria",2,1,"Qatar",10,2,1,71
"Brazil",10,1,"Uruguay",9,3,2,71
"United States",1,1,"Jordan",2,3,3,71
"Portugal",5,1,"Iran",1,2,4,71
"Paraguay",11,2,"Italy",12,2,5,71
"Netherlands",4,1,"Japan",7,2,6,71
"Spain",7,1,"Croatia",3,3,7,71
"Colombia",8,1,"Denmark",12,3,8,71
"France",11,1,"Germany",5,2,9,71
"Australia",9,2,"Jamaica",8,3,10,71
"Mexico",2,2,"Algeria",5,3,11,71
"Senegal",9,1,"Chile",7,3,12,71
"Norway",12,1,"Wales",6,3,13,71
"Ecuador",3,1,"Cameroon",6,2,14,71
"Argentina",6,1,"England",8,2,15,71
"Belgium",4,2,"Morocco",3,2,16,71
"Netherlands",8,1,"Denmark",7,3,1,72
"Wales",2,1,"Austria",10,3,2,72
"Colombia",9,1,"Japan",9,3,3,72
"Spain",12,1,"Jordan",2,3,4,72
"Belgium",11,1,"Norway",6,2,5,72
"Croatia",1,1,"Algeria",5,3,6,72
"Brazil",4,1,"Egypt",2,2,7,72
"Switzerland",5,1,"Chile",6,3,8,72
"Korea Republic",7,2,"Saudi Arabia",10,2,9,72
"Paraguay",10,1,"Jamaica",4,3,10,72
"France",7,1,"Iran",3,3,11,72
"Tunisia",11,2,"Poland",3,2,12,72
"United States",1,2,"England",6,1,13,72
"Senegal",4,2,"Uruguay",5,2,14,72
"Portugal",9,2,"Argentina",8,2,15,72
"Germany",12,2,"Ecuador",3,1,16,72
"Norway",5,1,"Switzerland",10,3,1,73
"Australia",1,1,"Morocco",11,3,2,73
"Netherlands",9,1,"Jamaica",4,3,3,73
"Portugal",4,1,"Costa Rica",5,3,4,73
"Mexico",2,1,"Korea Republic",10,2,5,73
"Senegal",7,1,"Iran",3,2,6,73
"Colombia",3,1,"Spain",7,3,7,73
"Algeria",6,1,"Argentina",6,2,8,73
"Italy",10,1,"Panama",6,3,9,73
"France",12,1,"Ecuador",12,3,10,73
"Belgium",11,1,"New Zealand",4,2,11,73
"Croatia",12,2,"Ghana",3,3,12,73
"Uruguay",5,2,"Chile",11,2,13,73
"Poland",8,2,"Austria",2,2,14,73
"Paraguay",7,2,"Brazil",9,2,15,73
"Germany",1,2,"England",8,1,16,73
"Chile",2,1,"Austria",11,3,1,74
"Italy",4,1,"Germany",10,3,2,74
"Paraguay",3,1,"Ecuador",5,3,3,74
"Netherlands",5,1,"England",5,2,4,74
"France",12,1,"Qatar",2,3,5,74
"Wales",8,1,"Uruguay",10,2,6,74
"Cameroon",10,1,"Spain",7,3,7,74
"Morocco",9,1,"Tunisia",3,2,8,74
"Portugal",11,1,"South Africa",8,3,9,74
"Norway",11,2,"Scotland",4,2,10,74
"Brazil",6,1,"Australia",6,3,11,74
